phase_seconds_after_five_minute_boundary,possible_anchors,wide_window_hits,wide_window_hit_share,core_populated_boundaries,core_both_legs_boundaries,opposite_taker_side_boundaries,balanced_50_boundaries,balanced_70_boundaries,balanced_80_boundaries,balanced_90_boundaries,balanced_95_boundaries,balanced_99_boundaries,wide_window_overlaps_target_boundary
222,8640,51,0.005902777778,7,0,0,0,0,0,0,0,0,false
223,8640,77,0.008912037037,15,0,0,0,0,0,0,0,0,false
224,8640,42,0.004861111111,10,0,0,0,0,0,0,0,0,false
225,8640,61,0.007060185185,13,0,0,0,0,0,0,0,0,false
226,8640,62,0.007175925926,15,0,0,0,0,0,0,0,0,false
227,8640,60,0.006944444444,13,1,0,0,0,0,0,0,0,false
228,8640,80,0.009259259259,13,1,1,1,0,0,0,0,0,false
229,8640,66,0.007638888889,15,2,2,1,1,1,1,1,1,false
230,8640,64,0.007407407407,13,0,0,0,0,0,0,0,0,false
231,8640,66,0.007638888889,11,0,0,0,0,0,0,0,0,false
232,8640,66,0.007638888889,8,0,0,0,0,0,0,0,0,false
233,8640,81,0.009375,19,1,0,0,0,0,0,0,0,false
234,8640,64,0.007407407407,19,0,0,0,0,0,0,0,0,false
235,8640,62,0.007175925926,7,2,0,0,0,0,0,0,0,false
236,8640,66,0.007638888889,11,0,0,0,0,0,0,0,0,false
237,8640,66,0.007638888889,19,1,0,0,0,0,0,0,0,false
238,8640,50,0.005787037037,12,0,0,0,0,0,0,0,0,false
239,8640,62,0.007175925926,13,1,0,0,0,0,0,0,0,false
240,8640,60,0.006944444444,8,0,0,0,0,0,0,0,0,false
241,8640,87,0.01006944444,17,1,1,1,1,0,0,0,0,false
242,8640,429,0.04965277778,26,0,0,0,0,0,0,0,0,false
243,8640,80,0.009259259259,17,1,0,0,0,0,0,0,0,false
244,8640,77,0.008912037037,16,1,1,0,0,0,0,0,0,false
245,8640,59,0.006828703704,16,0,0,0,0,0,0,0,0,false
246,8640,65,0.007523148148,12,1,0,0,0,0,0,0,0,false
247,8640,68,0.00787037037,12,0,0,0,0,0,0,0,0,false
248,8640,56,0.006481481481,15,0,0,0,0,0,0,0,0,false
249,8640,72,0.008333333333,20,0,0,0,0,0,0,0,0,false
